Artist,Listeners,Daily Trend,Peak,PkListeners
Topic,"1,60,40,418","-26,624",343,"1,66,34,144"
Ella Henderson,"1,60,25,418","-27,535",364,"1,71,42,204"
Los Ãngeles Azules,"1,60,21,310","69,209",424,"1,60,21,310"
Jessie J,"1,59,71,871","8,482",371,"1,63,54,955"
Tove Lo,"1,59,70,694","-93,002",321,"1,67,26,850"
Bad Gyal,"1,59,42,222","29,193",427,"1,59,42,222"
benny blanco,"1,59,30,635","15,596",292,"1,82,91,830"
Rosa Linn,"1,59,15,017","-1,01,458",213,"2,23,68,082"
Lord Huron,"1,59,06,977","46,023",430,"1,59,06,977"
Gesaffelstein,"1,58,91,155","-2,050",273,"1,89,95,025"
Tokischa,"1,58,56,953","20,355",430,"1,58,56,953"
Banda MS de Sergio LizÃ¡rraga,"1,58,52,687","-22,071",393,"1,61,44,034"
Keane,"1,58,23,574","22,462",384,"1,68,18,849"
The White Stripes,"1,58,00,722","12,829",408,"1,58,08,149"
MC Ryan SP,"1,57,50,834","46,689",360,"1,57,50,834"
Badshah,"1,57,10,761","52,634",413,"1,58,17,767"
The Goo Goo Dolls,"1,57,04,120","-66,442",413,"1,61,93,584"
John Mayer,"1,56,29,289","-26,335",327,"1,71,01,929"
Shankar-Ehsaan-Loy,"1,56,19,026","2,822",436,"1,56,19,026"
Nickelback,"1,55,71,772","19,770",414,"1,55,71,772"
070 Shake,"1,55,49,639","-45,030",101,"3,09,03,161"
Ana Castela,"1,55,42,197","49,890",433,"1,55,42,197"
My Chemical Romance,"1,55,25,039","17,294",407,"1,60,00,446"
Sunidhi Chauhan,"1,54,77,126","7,539",385,"1,67,52,575"
Cyndi Lauper,"1,54,53,338","-25,462",402,"1,63,92,835"
Bon Iver,"1,54,27,244","13,230",447,"1,54,27,244"
Kings of Leon,"1,54,15,693","22,547",413,"1,55,17,769"
Ricky Martin,"1,54,01,930","-25,758",365,"1,58,50,419"
beabadoobee,"1,53,34,890","3,646",316,"1,71,55,398"
Brray,"1,53,01,717","1,13,328",451,"1,53,01,717"
Noah Kahan,"1,52,59,153","-25,811",389,"1,66,40,382"
Gwen Stefani,"1,52,42,336","7,264",431,"1,54,62,234"
TV Girl,"1,52,40,196","39,325",438,"1,52,40,196"
Blessd,"1,51,79,576","-27,882",428,"1,54,91,077"
Santana,"1,51,73,412","-53,704",344,"1,53,11,085"
Julieta Venegas,"1,51,36,147","6,715",427,"1,51,74,990"
Gabry Ponte,"1,51,17,896","22,355",379,"1,55,43,123"
Ovy On The Drums,"1,50,89,695","-59,762",256,"1,96,58,860"
DENNIS,"1,50,73,535","-21,017",432,"1,56,45,823"
NATTI NATASHA,"1,50,62,502","-27,886",331,"1,74,98,549"
Amy Winehouse,"1,50,60,801",-437,417,"1,50,61,837"
Annie Lennox,"1,50,24,556","18,084",440,"1,50,46,117"
6LACK,"1,50,06,811","-5,541",321,"1,69,78,376"
Black Sabbath,"1,48,73,594","25,631",465,"1,48,73,594"
Carlos Vives,"1,48,61,437","2,487",375,"1,51,05,637"
B Praak,"1,48,42,549","2,728",406,"1,60,83,066"
Kylie Minogue,"1,48,38,923","1,291",416,"1,59,35,222"
Alejandro FernÃ¡ndez,"1,47,99,640","-17,682",404,"1,60,78,925"
Lil Peep,"1,47,49,584","54,930",387,"1,50,38,447"
Bomba EstÃ©reo,"1,47,40,676","-30,415",290,"1,80,55,394"
Armin van Buuren,"1,47,39,359","5,944",440,"1,52,31,658"
Jain,"1,47,07,409","-62,916",381,"1,69,26,660"
Rusherking,"1,46,58,187","30,687",426,"1,55,96,238"
Mike Posner,"1,46,19,745","-11,992",464,"1,47,45,638"
Morat,"1,45,95,190","57,208",344,"1,57,33,395"
Clairo,"1,45,85,428","42,681",462,"1,45,85,428"
Big One,"1,45,79,468","-1,73,215",398,"1,64,19,449"
Kunaal Vermaa,"1,45,49,882","53,629",479,"1,45,49,882"
Lenny TavÃ¡rez,"1,45,05,595","3,206",425,"1,46,27,402"
Disclosure,"1,44,99,906","-20,880",433,"1,54,96,017"
Melanie Martinez,"1,44,99,873",-563,257,"2,02,51,491"
Madison Beer,"1,44,95,280","-20,928",458,"1,48,28,204"
Purple Disco Machine,"1,44,64,092","1,14,154",451,"1,49,34,992"
Weezer,"1,44,39,765","-5,803",440,"1,52,86,346"
Frank Sinatra,"1,43,91,925","33,674",486,"1,43,91,925"
Mithoon,"1,43,80,477","-4,183",469,"1,45,69,645"
Fred again..,"1,43,58,951","-1,49,545",449,"1,45,08,496"
Armaan Malik,"1,42,91,502","43,113",381,"1,67,61,065"
Kacey Musgraves,"1,42,84,778","5,06,195",490,"1,42,84,778"
Benson Boone,"1,42,74,669","-10,909",488,"1,43,07,536"
Jorja Smith,"1,42,42,850","4,091",469,"1,46,72,140"
Meek Mill,"1,42,13,200","2,426",393,"1,55,53,179"
Tony Dize,"1,41,79,930","4,342",494,"1,41,87,225"
Destiny's Child,"1,41,71,491",-640,470,"1,45,42,444"
DJ Luian,"1,41,70,471","-12,206",293,"1,94,13,064"
Milky Chance,"1,41,51,286","-12,108",417,"1,58,53,645"
Lukas Graham,"1,41,37,648","-97,090",467,"1,47,95,359"
Empire of the Sun,"1,41,25,570","23,744",477,"1,42,91,146"
New West,"1,40,87,997","-46,730",421,"1,53,72,580"
Van Halen,"1,40,48,868","-50,639",485,"1,43,49,969"
Passenger,"1,40,47,859","-7,560",478,"1,44,07,135"
Neha Kakkar,"1,40,34,288","10,412",397,"1,59,37,303"
Parampara Tandon,"1,40,23,788","34,343",433,"1,53,79,200"
D-Block Europe,"1,40,19,098","4,58,049",505,"1,40,19,098"
Jaani,"1,40,12,948","52,696",506,"1,40,12,948"
24kGoldn,"1,40,12,294","-2,301",393,"1,51,17,675"
Mambo Kingz,"1,40,09,730","-12,561",298,"1,93,18,210"
Paulo Londra,"1,39,18,348","-20,622",401,"1,52,53,786"
Tones And I,"1,39,12,509","-44,668",416,"1,49,65,603"
Himesh Reshammiya,"1,38,97,260","9,306",457,"1,47,54,090"
Rita Ora,"1,38,29,017","13,510",350,"1,57,48,850"
Kehlani,"1,37,73,404","24,523",413,"1,45,45,020"
Zendaya,"1,37,50,898","-74,981",496,"1,41,54,770"
Asees Kaur,"1,37,46,431","21,085",420,"1,50,41,867"
Limp Bizkit,"1,37,45,027","17,737",514,"1,37,45,027"
Gym Class Heroes,"1,37,37,194","88,753",455,"1,46,81,834"
Galantis,"1,37,30,004","41,419",338,"1,61,68,291"
Maren Morris,"1,37,16,963","-38,673",432,"1,48,21,271"
Rae Sremmurd,"1,36,80,387","-15,879",412,"1,51,44,345"
Los Tucanes De Tijuana,"1,36,67,156","1,14,709",521,"1,36,67,156"
Arcane,"1,36,61,956","16,565",347,"1,60,18,371"
Sam Feldt,"1,36,06,617","-35,780",435,"1,53,13,300"
Tems,"1,35,95,161","-5,647",439,"1,41,54,825"
The 1975,"1,35,59,423","-12,208",341,"1,63,03,938"
Foster The People,"1,35,56,684","-13,733",505,"1,39,58,743"
Cage The Elephant,"1,35,54,549","6,497",504,"1,35,55,170"
Tulsi Kumar,"1,35,53,064","6,810",450,"1,49,28,757"
Grupo Marca Registrada,"1,35,53,062","1,13,315",411,"1,53,90,642"
Jesse & Joy,"1,35,32,022","-74,820",492,"1,39,56,774"
Alejandro Sanz,"1,35,20,993","-3,668",432,"1,43,95,340"
X Ambassadors,"1,35,13,613","-10,342",398,"1,49,34,403"
Sean Kingston,"1,35,00,823","7,392",527,"1,35,12,941"
Rochak Kohli,"1,34,97,098","15,897",470,"1,46,35,559"
Depeche Mode,"1,34,81,263","-61,547",418,"1,45,55,707"
Javed Ali,"1,34,63,479","32,737",498,"1,39,96,014"
Dolly Parton,"1,34,58,703","-28,438",465,"1,43,61,010"
Dan + Shay,"1,34,28,922","-8,228",388,"1,56,89,498"
Coolio,"1,34,06,704","27,250",469,"1,38,84,382"
King,"1,33,83,003","-30,083",392,"1,63,07,386"
Eyedress,"1,33,77,144","83,769",541,"1,33,77,144"
Rex Orange County,"1,33,55,048","2,612",336,"1,60,98,724"
Muse,"1,33,44,215","6,481",480,"1,37,93,019"
Neeti Mohan,"1,33,42,643","39,665",471,"1,44,00,198"
Silk Sonic,"1,33,30,824","34,781",373,"1,51,67,191"
sped up nightcore,"1,33,29,402","-6,971",300,"1,79,31,530"
Ms. Lauryn Hill,"1,33,27,564","-26,658",541,"1,33,54,222"
Fast & Furious: The Fast Saga,"1,32,85,863","-65,995",280,"2,05,26,487"
Aitana,"1,32,74,850","21,758",411,"1,50,94,220"
Wisin,"1,32,61,016","28,135",405,"1,56,14,069"
Machine Gun Kelly,"1,32,41,212","-11,382",409,"1,44,29,847"
CÃ©line Dion,"1,32,24,660","-2,109",467,"1,38,52,973"
Florida Georgia Line,"1,31,98,545","-15,679",505,"1,38,86,025"
Lil Yachty,"1,31,93,027","-1,37,105",509,"1,34,60,078"
Shubh,"1,31,87,776","20,399",555,"1,31,87,776"
Scorpions,"1,31,84,116","6,395",514,"1,33,34,338"
Kordhell,"1,31,64,820","-6,662",408,"1,44,97,317"
Pearl Jam,"1,31,61,368","-19,878",488,"1,33,97,739"
KISS,"1,31,49,841","15,827",475,"1,36,71,399"
Bazzi,"1,31,11,121","-4,279",428,"1,46,09,192"
Bring Me The Horizon,"1,31,10,469","20,406",475,"1,43,21,194"
DJ Nelson,"1,30,41,599","20,755",510,"1,30,41,599"
Chase Atlantic,"1,30,03,848","44,143",533,"1,31,83,688"
Amaal Mallik,"1,30,00,859","50,758",508,"1,37,64,448"
WILLOW,"1,29,61,454","32,611",360,"1,55,61,760"
Dulquer Salmaan,"1,29,56,266","3,50,067",566,"1,29,56,266"
Tammi Terrell,"1,29,52,760","1,05,273",567,"1,29,52,760"
Blondie,"1,29,49,446","1,183",552,"1,30,57,727"
The Smiths,"1,29,39,257","15,801",569,"1,29,39,257"
Hariharan,"1,29,36,969",-978,560,"1,29,37,947"
Pablo AlborÃ¡n,"1,29,15,982","5,355",519,"1,29,24,373"
Jowell & Randy,"1,29,14,399",-963,516,"1,29,18,152"
Laufey,"1,29,06,283","1,84,252",573,"1,29,06,283"
The Strokes,"1,29,06,248","8,470",534,"1,29,89,467"
Nicky Youre,"1,28,95,618","-38,063",362,"1,64,22,807"
Taio Cruz,"1,28,85,150","24,586",520,"1,32,46,597"
Boney M.,"1,28,59,029","-2,000",519,"1,36,36,105"
girl in red,"1,28,52,327","27,969",496,"1,28,81,109"
LuÃ­sa Sonza,"1,27,79,320","2,95,469",579,"1,27,79,320"
Milo j,"1,27,59,373","-71,972",468,"1,41,94,175"
Yahritza Y Su Esencia,"1,27,52,992","-1,06,618",424,"1,57,78,618"
Van Morrison,"1,27,40,150","-36,658",536,"1,34,40,284"
The Game,"1,27,04,338","-4,039",508,"1,27,17,750"
Jack Johnson,"1,26,96,219","-9,352",538,"1,27,05,571"
NAV,"1,26,85,475","-55,817",203,"2,40,09,796"
Dermot Kennedy,"1,26,66,199","-20,092",405,"1,46,90,713"
Nio Garcia,"1,26,36,759","-3,359",484,"1,37,91,945"
MGMT,"1,26,32,508","5,758",538,"1,28,59,126"
MarÃ­lia MendonÃ§a,"1,26,21,397","36,152",398,"1,49,32,890"
Lata Mangeshkar,"1,25,99,244","6,387",575,"1,26,86,479"
Gusttavo Lima,"1,25,74,418","56,792",572,"1,25,74,418"
MNEK,"1,25,74,196","-21,366",451,"1,39,03,326"
Electric Light Orchestra,"1,25,35,208","-5,849",522,"1,34,92,386"
Jeremih,"1,25,27,656","11,115",536,"1,25,27,656"
S3BZS,"1,25,17,406","26,250",589,"1,25,17,406"
Kane Brown,"1,24,91,654","-25,224",514,"1,37,41,481"
Mc Don Juan,"1,24,53,939","11,249",515,"1,27,40,103"
Evanescence,"1,24,27,349","9,843",592,"1,24,27,349"
Benny Dayal,"1,24,00,284","40,123",599,"1,24,00,284"
Bradley Cooper,"1,23,97,414","-12,349",457,"1,36,61,847"
Sid Sriram,"1,23,96,163","8,565",596,"1,23,96,163"
Mau y Ricky,"1,23,88,586","7,021",489,"1,29,43,019"
Henrique & Juliano,"1,23,75,381","45,111",590,"1,25,89,995"
iann dior,"1,23,74,919","65,013",438,"1,44,36,905"
Chino Pacas,"1,23,62,414","2,07,980",474,"1,39,58,546"
Sky Rompiendo,"1,23,16,903","-32,532",403,"1,63,44,563"
Rahat Fateh Ali Khan,"1,22,81,250","-9,645",479,"1,43,03,179"
Fergie,"1,22,33,012","13,905",562,"1,22,33,012"
Rick Ross,"1,22,32,666","6,275",516,"1,24,17,329"
Payal Dev,"1,22,29,639","21,070",607,"1,22,29,639"
Loreen,"1,21,94,769","-33,346",329,"1,83,58,956"
Foreigner,"1,21,84,975","39,247",506,"1,38,68,177"
Eurythmics,"1,21,76,576","18,371",606,"1,21,76,576"
Tyler Childers,"1,21,53,177","1,09,164",614,"1,21,53,177"
Hailee Steinfeld,"1,21,50,295","-13,928",440,"1,42,17,074"
Gustavo Mioto,"1,21,49,819","17,121",616,"1,21,49,819"
The Beach Boys,"1,21,48,056","7,448",554,"1,30,22,489"
Selena Gomez & The Scene,"1,21,34,825","86,410",525,"1,22,40,569"
Christina Perri,"1,21,20,972","-5,071",506,"1,31,77,892"
Dalex,"1,21,20,281","15,014",355,"1,57,59,825"
Shekhar Ravjiani,"1,21,05,273","21,305",392,"1,58,05,465"
Oscar Maydon,"1,20,96,350","-2,687",523,"1,29,08,036"
Chayanne,"1,20,82,584","-1,598",617,"1,20,84,182"
Matheus & Kauan,"1,20,69,790","22,466",605,"1,20,69,790"
Yeat,"1,20,57,928","-78,240",512,"1,23,95,785"
Eric Clapton,"1,20,22,195","-7,914",550,"1,25,08,878"
Logic,"1,20,03,658","-7,684",431,"1,39,70,820"
M83,"1,19,82,170","-8,194",619,"1,20,06,228"
Luan Pereira,"1,19,62,077","63,603",629,"1,19,62,077"
Michael BublÃ©,"1,19,53,122","58,394",536,"1,19,53,122"
Noah Cyrus,"1,19,29,770","14,980",471,"1,37,19,050"
Slipknot,"1,19,05,027","5,819",543,"1,26,52,937"
S. P. Balasubrahmanyam,"1,18,99,072","-2,091",630,"1,19,02,413"
Ashe,"1,18,66,980","-23,603",623,"1,19,29,826"
will.i.am,"1,18,65,210","10,366",566,"1,28,35,275"
Blur,"1,18,47,080","-68,004",556,"1,29,99,306"
Goodboys,"1,18,28,871","-28,837",508,"1,23,49,197"
Seeb,"1,18,28,823","-21,254",603,"1,22,08,460"
keshi,"1,18,22,317","-33,672",504,"1,36,68,403"
Kumaar,"1,17,97,376","55,927",316,"1,67,46,132"
Felipe Amorim,"1,17,85,140","58,741",641,"1,17,85,140"
Tina Turner,"1,17,82,461","-25,684",308,"1,91,64,105"
Calibre 50,"1,17,76,754","-4,969",488,"1,28,43,859"
CKay,"1,17,67,760","-27,024",429,"1,55,04,745"
Thundercat,"1,17,52,053","27,697",447,"1,45,06,297"
Beach House,"1,17,51,820","11,262",546,"1,21,85,948"
Normani,"1,17,51,362","42,517",521,"1,21,24,105"
Morad,"1,17,24,819","-40,149",608,"1,21,32,801"
Luan Santana,"1,17,16,351","17,311",649,"1,17,16,351"
James Hype,"1,17,14,485","-31,342",460,"1,35,41,656"
Jatin-Lalit,"1,17,11,637","-1,465",650,"1,17,13,102"
Busta Rhymes,"1,17,09,674","1,04,944",612,"1,18,56,664"
dazy,"1,16,98,866","-24,488",426,"1,46,90,270"
T-Pain,"1,16,90,949","3,816",568,"1,17,66,687"
DNCE,"1,16,86,566","-7,310",591,"1,19,81,312"
Robbie Williams,"1,16,81,764","-20,030",607,"1,18,75,920"
Loud Luxury,"1,16,78,616","17,857",593,"1,22,38,932"
SYML,"1,16,73,747","-6,871",464,"1,36,54,711"
SalimâSulaiman,"1,16,68,946","-4,185",613,"1,21,34,086"
Sigala,"1,16,67,778","-40,060",384,"1,50,11,420"
James Blunt,"1,16,56,003","-34,921",553,"1,25,64,967"
Ke Personajes,"1,16,53,793","-14,229",636,"1,17,89,284"
ZÃ© Neto & Cristiano,"1,16,53,473","32,024",663,"1,16,53,473"
Luke Bryan,"1,16,46,218","-46,866",601,"1,21,70,317"
The Clash,"1,16,27,935","-23,901",615,"1,20,28,653"
Sade,"1,16,27,309","-11,727",570,"1,27,99,239"
AURORA,"1,16,13,956","3,975",473,"1,31,67,918"
V,"1,16,06,153","3,02,681",668,"1,16,06,153"
Saiko,"1,16,03,478","2,10,934",669,"1,16,03,478"
A$AP Ferg,"1,16,00,864",-906,585,"1,21,33,735"
James Bay,"1,15,92,902","-75,770",571,"1,19,31,200"
Spice Girls,"1,15,77,466","-31,224",591,"1,24,66,014"
Lyanno,"1,15,74,495","-35,490",416,"1,45,35,766"
Paul McCartney,"1,15,73,817","34,147",500,"1,25,62,122"
Tracy Chapman,"1,15,60,802","-39,568",632,"1,19,17,981"
INNA,"1,15,53,441","-24,594",646,"1,17,22,076"
Mari Fernandez,"1,15,36,832","11,548",515,"1,25,92,523"
Johnny Cash,"1,15,34,601","-7,545",592,"1,19,55,065"
Wham!,"1,15,33,536","7,873",677,"1,15,33,536"
Papa Roach,"1,15,25,569","14,786",624,"1,15,25,569"
Aretha Franklin,"1,15,24,332","-12,877",546,"1,31,83,598"
Key Glock,"1,15,19,380","52,042",642,"1,15,19,380"
The Pussycat Dolls,"1,15,16,978","-1,145",619,"1,15,66,351"
Ciara,"1,14,98,096","-29,467",639,"1,17,80,496"
Kate Bush,"1,14,90,818",-452,424,"1,41,01,915"
Sukhwinder Singh,"1,14,89,132","56,895",686,"1,14,89,132"
FISHER,"1,14,88,151","-6,427",682,"1,14,94,578"
Lionel Richie,"1,14,82,572","-7,760",641,"1,16,23,824"
Anu Malik,"1,14,73,160","-3,301",608,"1,20,58,014"
WALK THE MOON,"1,14,44,526","-23,965",631,"1,18,83,990"
Simon & Garfunkel,"1,14,09,572","1,567",575,"1,20,13,714"
Marc Anthony,"1,14,03,042","-9,315",419,"1,41,18,563"
Yuvan Shankar Raja,"1,13,96,407","9,709",692,"1,13,96,407"
Billy Idol,"1,13,79,187","-1,662",628,"1,19,00,592"
Altamash Faridi,"1,13,76,980","-39,361",530,"1,35,42,217"
John Newman,"1,13,66,247","-19,411",612,"1,21,54,111"
3 Doors Down,"1,13,63,335","-26,212",681,"1,14,35,840"
Zac Brown Band,"1,13,59,157","3,249",654,"1,15,74,609"
John Martin,"1,13,51,478","-26,272",668,"1,15,35,835"
K. S. Chithra,"1,13,39,272","-14,727",692,"1,13,64,537"
Los Enanitos Verdes,"1,13,17,703","30,337",653,"1,15,38,324"
Cults,"1,13,16,837","11,862",463,"1,32,66,271"
Lin-Manuel Miranda,"1,13,15,976",569,532,"1,20,25,330"
Mitski,"1,13,10,399","29,225",642,"1,14,57,947"
Prince,"1,12,96,425","6,771",630,"1,18,36,356"
Kadu Martins,"1,12,68,989","12,573",706,"1,12,68,989"
Santa Fe Klan,"1,12,55,812","1,43,758",677,"1,12,55,812"
Devi Sri Prasad,"1,12,41,644","15,515",594,"1,21,01,218"
Tom Petty,"1,12,38,824","16,537",698,"1,12,38,824"
Moneybagg Yo,"1,12,37,831","-14,579",543,"1,33,61,761"
The Walters,"1,12,37,281","2,582",543,"1,18,65,299"
(G)I-DLE,"1,12,07,374","-37,538",599,"1,22,16,685"
Ãejo,"1,12,03,209","-5,023",653,"1,16,25,762"
Jorge & Mateus,"1,11,97,401","20,435",539,"1,18,85,902"
Brytiago,"1,11,82,139","57,329",615,"1,11,82,139"
YG,"1,11,79,867","-14,265",530,"1,24,71,725"
Dove Cameron,"1,11,78,406","5,04,512",367,"1,53,63,797"
Jaymes Young,"1,11,76,774","-37,989",530,"1,31,23,344"
The Doors,"1,11,76,130","10,514",633,"1,18,23,570"
Soulja Boy,"1,11,66,216","6,596",669,"1,11,66,216"
James Blake,"1,11,65,921","42,820",582,"1,25,12,105"
$uicideboy$,"1,11,58,631","-24,198",603,"1,11,82,829"
Leon Bridges,"1,11,55,370","1,794",674,"1,15,03,891"
Stromae,"1,11,46,761","-14,365",617,"1,17,58,771"
Joan Sebastian,"1,11,44,520","2,832",657,"1,11,69,107"
Diljit Dosanjh,"1,11,36,581","32,217",655,"1,17,08,690"
Amit Trivedi,"1,11,34,514","7,880",384,"1,49,89,573"
Manu Chao,"1,11,22,415","-37,867",650,"1,16,59,241"
LISA,"1,11,05,985","-34,180",534,"1,33,64,607"
Seafret,"1,10,59,486","-19,834",480,"1,29,65,413"
JhenÃ© Aiko,"1,10,26,717","9,468",593,"1,15,09,802"
Israel & Rodolffo,"1,09,99,760","17,351",656,"1,14,83,711"
H.E.R.,"1,09,95,651","12,114",503,"1,25,00,641"
SOG,"1,09,93,866","97,184",734,"1,09,93,866"
Wesley SafadÃ£o,"1,09,77,362","43,324",630,"1,09,97,207"
YNW Melly,"1,09,70,283",278,619,"1,20,98,740"
Gurinder Gill,"1,09,67,648","3,004",692,"1,13,01,680"
Diddy,"1,09,49,396","-46,488",508,"1,27,76,020"
Maiara & Maraisa,"1,09,33,833","50,480",622,"1,09,33,833"
Carrie Underwood,"1,09,20,421","-64,633",663,"1,15,22,881"
Timmy Trumpet,"1,09,17,802","-24,114",648,"1,09,41,916"
Rod Stewart,"1,09,02,571",686,631,"1,15,75,035"
The Smashing Pumpkins,"1,09,02,411","-13,017",659,"1,10,44,641"
Bailey Zimmerman,"1,08,99,853","1,914",739,"1,08,99,853"
Bob Sinclar,"1,08,76,773","-10,800",725,"1,09,55,141"
La Oreja de Van Gogh,"1,08,76,307","14,827",713,"1,08,76,307"
Gotye,"1,08,40,730","29,316",661,"1,08,40,730"
Nas,"1,08,31,547","-50,880",547,"1,33,92,042"
Dimitri Vegas & Like Mike,"1,08,29,912","-4,864",652,"1,16,69,908"
Yo Yo Honey Singh,"1,08,15,334","30,103",686,"1,11,86,775"
SofÃ­a Reyes,"1,08,04,609","-6,177",607,"1,22,76,010"
Counting Crows,"1,08,03,347","-7,562",734,"1,08,64,205"
Thaman S,"1,07,80,487","4,563",663,"1,07,80,487"
Cosculluela,"1,07,67,894","90,122",678,"1,10,11,074"
Hombres G,"1,07,57,760",790,744,"1,07,58,994"
T.I.,"1,07,44,267","64,661",587,"1,12,30,035"
La Adictiva,"1,07,24,164","-14,577",647,"1,12,39,076"
Juan Luis Guerra 4.40,"1,07,18,577",-128,700,"1,09,64,025"
TLC,"1,06,68,115","23,708",700,"1,11,11,317"
Lenny Kravitz,"1,06,65,928","-3,762",697,"1,09,57,172"
Roxette,"1,06,49,681","-6,432",700,"1,11,55,709"
Justine Skye,"1,06,35,767","-45,301",539,"1,18,60,302"
Rammstein,"1,06,29,300","-7,080",636,"1,18,05,127"
INTERWORLD,"1,06,00,701","4,700",711,"1,08,09,092"
Disturbed,"1,05,86,327","10,856",680,"1,06,78,951"
Ben E. King,"1,05,84,109","-51,197",754,"1,07,01,873"
Ayra Starr,"1,05,58,716","1,01,958",541,"1,27,98,195"
Rudimental,"1,05,46,446","-3,350",704,"1,11,95,138"
Chance the Rapper,"1,05,43,446","-1,952",623,"1,09,52,938"
6ix9ine,"1,05,26,119","-26,141",584,"1,21,67,814"
Darell,"1,05,08,541","-11,758",683,"1,09,22,504"
Sasha Alex Sloan,"1,05,04,600","-2,335",463,"1,44,97,829"
Jeremy Zucker,"1,05,00,742","-10,697",513,"1,22,31,275"
Beach Weather,"1,04,91,090","5,898",597,"1,11,62,772"
Camila,"1,04,89,182","14,104",775,"1,04,89,182"
KHEA,"1,04,83,684","9,567",595,"1,22,38,856"
Soda Stereo,"1,04,71,468","17,151",777,"1,04,71,468"
Shouse,"1,04,65,461","-27,428",530,"1,32,18,201"
Mumford & Sons,"1,04,59,358","4,588",715,"1,04,59,358"
Korn,"1,04,56,482","6,119",733,"1,05,04,909"
Mary J. Blige,"1,04,56,126","10,476",696,"1,04,56,126"
Olivia Newton-John,"1,04,31,333","26,971",708,"1,10,31,469"
KALEO,"1,04,26,944","83,645",783,"1,04,26,944"
Survivor,"1,04,11,352","-5,284",723,"1,05,72,103"
John Lennon,"1,04,05,541","37,453",628,"1,11,18,291"
Guilherme & Benuto,"1,04,00,018","37,079",699,"1,08,56,086"
Cartel De Santa,"1,03,78,022","-8,757",376,"1,55,47,760"
2 Chainz,"1,03,53,764","-15,823",518,"1,38,21,264"
Kumar Sanu,"1,03,49,727","3,210",789,"1,03,52,600"
Danna Paola,"1,03,42,684","-27,840",531,"1,22,98,665"
Cazzu,"1,03,42,214","50,694",679,"1,07,01,834"
Shinda Kahlon,"1,03,29,353","60,849",792,"1,03,29,353"
bbno$,"1,03,25,079","-4,141",721,"1,03,48,710"
Gigi D'Agostino,"1,03,22,082","-15,920",773,"1,04,06,240"
Jordan Davis,"1,03,18,612","-24,049",689,"1,12,41,855"
A7S,"1,03,11,540",-44,578,"1,13,63,223"
Fifth Harmony,"1,03,04,947","3,174",675,"1,06,80,046"
fun.,"1,03,01,628","45,551",594,"1,22,80,955"
Belanova,"1,02,84,935","35,238",799,"1,02,84,935"
FAST BOY,"1,02,76,283","-17,078",541,"1,19,00,190"
Flume,"1,02,74,981",-687,640,"1,08,14,253"
Veigh,"1,02,71,396","13,980",802,"1,02,71,396"
Mc Livinho,"1,02,69,046","2,208",762,"1,05,91,190"
Regard,"1,02,68,704",-175,594,"1,14,05,051"
TOMORROW X TOGETHER,"1,02,62,457","-55,041",660,"1,15,44,021"
Thomas Rhett,"1,02,42,227","-20,452",666,"1,12,39,778"
SAINt JHN,"1,02,40,598","16,196",614,"1,08,12,618"
Jess Glynne,"1,02,29,614","-13,781",707,"1,07,66,008"
Matheus Fernandes,"1,02,25,156","58,225",809,"1,02,25,156"
Zion,"1,02,24,872","-15,743",660,"1,15,49,405"
AJR,"1,02,05,951","-25,210",576,"1,14,78,322"
Kenny Loggins,"1,02,00,387","-10,615",718,"1,05,73,523"
Wizkid,"1,01,93,951","-18,717",523,"1,37,58,308"
Marco Antonio SolÃ­s,"1,01,90,863","-1,362",688,"1,02,96,202"
Shadab Faridi,"1,01,77,076","-48,062",584,"1,25,67,527"
Three Days Grace,"1,01,68,254","41,295",716,"1,03,07,314"
GAYLE,"1,01,66,833","-36,078",545,"1,26,35,740"
Kimbra,"1,01,61,294","25,682",724,"1,01,61,294"
Yusuf / Cat Stevens,"1,01,41,636","-13,376",722,"1,06,81,674"
Hans Zimmer,"1,01,32,691","21,153",725,"1,01,32,691"
Jessie Reyez,"1,01,31,037","11,813",241,"2,17,63,207"
Lizzy McAlpine,"1,01,23,490","-37,722",293,"1,84,59,665"
Sadhana Sargam,"1,01,14,594","-2,607",790,"1,02,17,430"
Taiu,"1,01,11,704","-35,270",494,"1,33,73,236"
Owl City,"1,00,95,113","-12,705",753,"1,03,31,661"
Supertramp,"1,00,76,850","45,542",826,"1,00,76,850"
NIKI,"1,00,66,210","-33,574",727,"1,01,79,388"
Simone Mendes,"1,00,64,336","17,330",828,"1,00,64,336"
Chief Keef,"1,00,46,109","6,124",701,"1,02,00,557"
Sting,"1,00,42,495","-4,389",698,"1,03,79,484"
MAGIC!,"1,00,42,303","-25,074",793,"1,03,39,521"
Natalia Lafourcade,"1,00,31,467","-23,810",705,"1,06,34,148"
Gera MX,"1,00,31,334","-12,460",725,"1,02,45,917"
Riton,"1,00,25,454","-4,445",685,"1,14,32,336"
TWICE,"1,00,23,650","-19,789",499,"1,28,55,155"
Sidhu Moose Wala,"1,00,22,146","-20,495",637,"1,18,47,588"
The Fray,"1,00,04,725","-1,473",820,"1,00,06,198"
Kelsea Ballerini,"1,00,01,707","-1,04,735",649,"1,05,70,841"
KayBlack,"99,93,884","-16,606",769,"1,04,92,966"
L7NNON,"99,85,168","9,275",583,"1,12,95,456"
Grupo Menos Ã Mais,"99,82,472","57,952",841,"99,82,472"
Trueno,"99,74,071","7,564",842,"99,74,071"
